,number,value,datetime_start,datetime_complete,duration,params_lambda_dig,params_lambda_offdig,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.0,2020-08-18 20:08:47.814655,2020-08-18 23:49:45.054357,0 days 03:40:57.239702000,7.0,17.0,0.0,0.0,0.0,COMPLETE
1,1,0.0,2020-08-18 23:49:45.055305,2020-08-19 03:32:14.921592,0 days 03:42:29.866287000,7.0,5.0,1780.65429,0.0,0.0,COMPLETE
2,2,34179.35912,2020-08-19 03:32:14.922633,2020-08-19 07:16:19.809020,0 days 03:44:04.886387000,19.0,25.0,7787.59226,32601.23746,,COMPLETE
3,3,18937.243,2020-08-19 07:16:19.809963,2020-08-19 10:59:31.715017,0 days 03:43:11.905054000,5.0,7.0,19233.76133,,,COMPLETE
4,4,0.0,2020-08-19 10:59:31.715945,2020-08-19 14:42:08.643994,0 days 03:42:36.928049000,9.0,5.0,1856.84822,0.0,0.0,COMPLETE
5,5,0.0,2020-08-19 14:42:08.644918,2020-08-19 15:07:30.565154,0 days 00:25:21.920236000,3.0,19.0,0.0,,,PRUNED
6,6,0.0,2020-08-19 15:07:30.761616,2020-08-19 16:17:01.005428,0 days 01:09:30.243812000,9.0,17.0,0.0,,,PRUNED
7,7,inf,2020-08-19 16:17:01.224877,2020-08-19 20:00:54.714265,0 days 03:43:53.489388000,19.0,5.0,inf,inf,,COMPLETE
8,8,0.0,2020-08-19 20:00:54.715200,2020-08-19 21:11:01.074186,0 days 01:10:06.358986000,7.0,17.0,0.0,,,PRUNED
9,9,12616.68358,2020-08-19 21:11:01.299898,2020-08-20 00:35:25.414330,0 days 03:24:24.114432000,15.0,25.0,12616.68358,,,PRUNED
10,10,1.7656007196850256e+17,2020-08-20 00:35:25.726930,2020-08-20 04:19:24.600111,0 days 03:43:58.873181000,9.0,21.0,1.5694228619422449e+18,5.649922302992082e+17,1.9349048982849597e+17,COMPLETE
11,11,279.59396,2020-08-20 04:19:24.601069,2020-08-20 05:29:29.217822,0 days 01:10:04.616753000,7.0,21.0,279.59396,,,PRUNED
12,12,10617.20267,2020-08-20 05:29:29.430864,2020-08-20 08:53:06.110362,0 days 03:23:36.679498000,11.0,7.0,9347.47443,10617.20267,,PRUNED
13,13,0.0,2020-08-20 08:53:06.434161,2020-08-20 09:18:29.245588,0 days 00:25:22.811427000,3.0,1.0,0.0,,,PRUNED
14,14,257.44169,2020-08-20 09:18:29.432191,2020-08-20 10:28:20.852318,0 days 01:09:51.420127000,11.0,7.0,257.44169,,,PRUNED
15,15,1763.79892,2020-08-20 10:28:21.071672,2020-08-20 10:53:49.454763,0 days 00:25:28.383091000,17.0,9.0,1763.79892,,,PRUNED
16,16,0.0,2020-08-20 10:53:49.642385,2020-08-20 12:03:24.271449,0 days 01:09:34.629064000,13.0,19.0,0.0,,,PRUNED
17,17,10639.54904,2020-08-20 12:03:24.493072,2020-08-20 13:13:18.350295,0 days 01:09:53.857223000,5.0,29.0,3461.60025,10639.54904,,PRUNED
18,18,0.0,2020-08-20 13:13:18.571285,2020-08-20 13:38:44.466848,0 days 00:25:25.895563000,13.0,7.0,0.0,,,PRUNED
19,19,269495.44922,2020-08-20 13:38:44.652029,2020-08-20 17:02:21.561283,0 days 03:23:36.909254000,17.0,5.0,767536.98428,269495.44922,,PRUNED
20,20,9650.16772,2020-08-20 17:02:21.873006,2020-08-20 20:26:07.390415,0 days 03:23:45.517409000,3.0,19.0,10788.57431,11918.85672,9650.16772,PRUNED
21,21,0.0,2020-08-20 20:26:07.699295,2020-08-20 20:51:35.432760,0 days 00:25:27.733465000,13.0,27.0,0.0,,,PRUNED
22,22,1302.69024,2020-08-20 20:51:35.617804,2020-08-20 21:17:05.405927,0 days 00:25:29.788123000,11.0,23.0,1302.69024,,,PRUNED
23,23,inf,2020-08-20 21:17:05.590159,2020-08-21 01:01:19.750003,0 days 03:44:14.159844000,7.0,13.0,inf,inf,inf,COMPLETE
